Нектарин, огурцы, томаты, гранаты, капуста, голубика, мороженое, бананы, шоколад	Еда	2013-06-30	621,95	5	
Молоко	Еда,молоко	2013-07-01	24,50		
Мороженое ушастик	Еда,сладости	2013-07-02	6,50		
Сгущёнка, кефир, молоко, сметана и сырок творожный	Еда	2013-07-02	176,30		
Картошка	Еда,овощи,картошка	2013-07-02	52,98		
Мука	Еда	2013-07-02	63,40		
Молоко	Еда,молоко	2013-07-06	70,00		
Морковь	Еда,овощи,морковка	2013-07-06	16,78		
Помидоры, груши, огурцы, абрикосы, кефир, крекеры, персики, виноград, натх медово-ореховый, щербет с арахисом, бананы, сникерс, супер сникерс	Еда	2013-07-08	509,76		
Кефир	Еда,молочные продукты	2013-07-08	22,20		
Хлеб	Еда,хлеб	2013-07-11	13,20		
Пончики, рожки алтайские, печенье, йогурт питьевой	Еда	2013-07-12	136,14		
Хлеб, бананы и лимоны	Еда	2013-07-13	90,69		
Молоко	Еда	2013-07-14	30,60		
Чипсы	Еда	2013-07-15	75,50		
Овощи и фрукты на рынке	Еда	2013-07-16	323,00		
Мандарины	Еда	2013-07-16	134,00		
Сгущёнка	Еда	2013-07-16	248,00		
Масло	Еда	2013-07-16	155,00		
Картошка	Еда	2013-07-16	49,00		
Сахар и мука	Еда	2013-07-16	226,50		
Молоко	Еда	2013-07-16	30,60		
Бананы, баранки, хлеб, плавленый сыр, молоко, сметана	Еда	2013-07-17	184,64		
Молоко	Еда	2013-07-19	30,60		
Молоко	Еда	2013-07-20	105,00		
Хлеб	Еда	2013-07-21	11,20		
Молоко	Еда	2013-07-22	30,60		
Молоко	Еда	2013-07-23	30,60		
Йогурт, крекер, сырок, сникерс, помидоры, молоко, зефир, мармелад	Еда	2013-07-24	317,90		
Персики половинки консервированные, нектарин, мука 5 кг, бананы и молоко	Еда	2013-07-26	383,10		
Хлеб	Еда	2013-07-27	13,20		
Сметана и молоко	Еда	2013-07-28	91,20		
Молоко	Еда	2013-07-29	30,60		
Семечки	Еда	2013-07-29	9,00		
Нектарин и арбуз	Еда	2013-07-29	117,00		
Молоко	Еда	2013-07-31	30,60		
Бананы на нама-хатту	Еда	2013-08-01	42,69		
Молоко	Еда	2013-08-01	35,80		
Вода и йогурт	Еда	2013-08-04	43,90		
Молоко	Еда	2013-08-05	35,80		
Зелень	Еда	2013-08-06	35,00		
Молоко	Еда	2013-08-06	70,00		
Сметана, сникерс, хлеб и лаваш	Еда	2013-08-07	110,70		
Хлеб и лаваш	Еда	2013-08-10	44,40		
Рис, кекс, слойки, крекер, щербет и два сникерса	Еда	2013-08-11	292,00		
Хлеб	Еда	2013-08-11	13,20		
Молоко	Еда	2013-08-13	64,80		
Виноград, кефир, молоко топлёное, сметана, картошка, лимоны, сгущёнка	Еда	2013-08-16	535,04		
Гречка	Еда	2013-08-17	37,19		
Молоко	Еда	2013-08-19	35,80		
Молоко	Еда	2013-08-21	35,80		
Лаваш и молоко	Еда	2013-08-22	67,00		
Картофель, нектарин, огурцы и молоко	Еда	2013-08-24	151,02		
Молоко	Еда	2013-08-26	35,80		
Киви, йогурт, творожная масса, тыква, нектарины, творог, фундук, молоко	Еда	2013-08-27	1312,20		
Сухарики и ирис	Еда	2013-08-28	78,30		
Молоко	Еда	2013-08-30	35,80		
Мука, сырок, нектарин, баклажаны, перец жёлтый и красный, сливы, бананы, баранки, помидоры, сок персиковый, сок яблочный, картошка	Еда	2013-08-31	636,02		
Сырок творожный, молоко	Еда	2013-08-31	56,50		
Баклава, творожная масса, ванилин, мюсли, подсолнечное масло, ванильный сахар, огурцы, разрыхлитель теста, сушёные абрикосы, сгущёные сливки, сгущёнка, оливки, томатная паста, творог, консервированные фрукты, пирог, грецкий орех, изюм, молоко, нектарин, бурма, помидоры	Еда	2013-09-02	4326,05		
Молоко	Еда	2013-09-04	37,50		
Молоко на нама-хатту	Еда	2013-09-04	104,00		
Молоко, топлёное молоко, морская капуста, вермишель	Еда	2013-09-05	133,00		
Хлеб	Еда	2013-09-06	25,60		
Лаваш, мандарины, кефир	Еда	2013-09-07	130,23		
Молоко	Еда	2013-09-07	37,50		
Арбуз, кефир, молоко	Еда	2013-09-08	179,28		
Масло	Еда	2013-09-10	54,50		
Хлеб и сметана	Еда	2013-09-10	95,10		
Конфеты, сникерс, инис, молоко, лаваш, сырок творожный, йогурт, кефир	Еда	2013-09-13	286,97		
Щербет и морская капуста	Еда	2013-09-14	52,75		
Кефир	Еда	2013-09-16	25,50		
Сникерс	Еда	2013-09-17	25,20		
Молоко	Еда	2013-09-17	37,50		
Овощи на салат	Еда	2013-09-17	90,00		
Лаваш и хлеб	Еда	2013-09-18	45,00		
Чай и помидоры	Еда	2013-09-19	85,05		
Хлеб	Еда	2013-09-22	13,50		
Сникерс, сок, ирис, консервированная кукуруза, чай, творог, пюре картофельное, каша «минутка», йогурт, сыр, хлеб	Еда	2013-09-22	448,86		
Семечки, бобы жареные с солью, салат из спаржи, хлеб, пюре картофельное, чипсы, огурцы маринованные, чай, конфеты	Еда	2013-09-22	423,36		
Овощи на рынке	Еда	2013-10-06	117,00		
Масло сливочное	Еда	2013-10-06	181,00		
Капуста цветная	Еда	2013-10-06	89,00		
Имбирь	Еда	2013-10-06	95,00		
Купили овощей на рынке	Еда	2013-10-17	138,00		
Творог	Еда,молочные продукты	2013-02-02	39,00		
Тыква	Еда,овощи	2013-02-02	120,00		
Огурцы маринованные	Еда,овощи	2013-02-03	60,00		
Огурцы маринованные	Еда,овощи	2013-02-08	59,00		
Семечки	Еда,семечки	2013-01-14	65,00		
Сладости	Еда,сладости	2013-02-02	61,00		
Щербет	Еда,сладости	2013-02-14	35,75		
Сникерс	Еда,сладости,сникерс	2013-02-08	29,80		
Бананы на рынке	Еда,фрукты	2013-01-24	58,00		
Хлеб	Еда,хлеб	2013-02-15	10,20		
Книги Ниранджаны Свами	Книги	2013-09-24	900,00		
Кухонные часы	Оборудование	2013-06-15	399,01		
Шпингалет, рулетка, кувшин и салфетница	Оборудование	2013-06-16	290,00		
Чайник	Оборудование	2013-06-16	650,00		
Коврик для раскатки теста	Оборудование	2013-06-16	560,00		
Пожертвования в храм	Пожертвование	2013-09-01	500,00		
Пожертвовал в храм за электричество	Пожертвование	2013-09-15	1000,00		
Съездили к родителям	Проезд	2013-07-06	15,00		6
Съездили к родителям	Проезд	2013-07-07	15,00		6
Съездили к родителям	Проезд	2013-07-07	15,00		5
Съездили к родителям	Проезд	2013-07-12	15,00		2
Вернулись домой от Родиона и съездили к Тимуру на день рождения	Проезд	2013-07-13	15,00		4
Съездили на воскресную программу	Проезд	2013-07-14	15,00		4
Съездили к родителям	Проезд	2013-07-20	15,00		6
Проезд до конгресса	Проезд	2013-07-27	15,00		2
Проезд до и от храма	Проезд	2013-07-28	15,00		3
Съездили на фитнесс	Проезд	2013-07-29	15,00		4
Съездил в ПНД	Проезд	2013-08-21	15,00		2
Когда-то ездили на трамвае	Проезд	2013-08-21	15,00		2
Проезд за одеждой	Проезд	2013-08-31	15,00		4
Съездили в фитнесс	Проезд	2013-09-06	15,00		2
Съездил к родителям	Проезд	2013-09-18	15,00		3
Проезд до родителей и обратно	Проезд	2013-10-05	15,00		8
Съездили в магазин посуды	Проезд	2013-10-07	15,00		6
Груши на нама-хатту	Пожертвование	2013-04-11	79,00		
Пожертвование за диск	Пожертвование	2013-05-11	100,00		
Бананы на нама-хатту	Пожертвование	2013-07-18	36,90		
Пожертвования на всякое	Пожертвование	2013-07-28	300,00		
Пожертвовал в храм	Пожертвование	2013-08-04	220,00		
Мандарины на нама-хатту	Пожертвование	2013-07-11	60,31		
Огромная пачка книг	Книги	2013-09-26	8000,00		
Тюль на два окна	Оборудование	2013-06-18	500,00		2
Подставка для благовоний 	Оборудование	2013-06-25	200,80		
Коробка для украшений	Оборудование	2013-06-25	400,00		
Формы для хлеба	Оборудование	2013-07-29	320,00		
Рюкзак	Оборудование	2013-08-16	595,00		
Дорожная сумка	Оборудование	2013-08-16	2500,00		
Сушилка для овощей	Оборудование	2013-08-18	1299,00		
Сумка	Оборудование	2013-09-25	400,00		
Чепчик	Одежда	2013-05-26	110,00		
Чётки и мешочек Андрею	Подарки	2013-05-10	300,00		
Напольный стеллаж родителям	Подарки	2013-06-30	2590,00		
Пончики мамане	Подарки	2013-07-09	28,80		
Подвеска из раковин	Подарки	2013-09-23	350,00		
Бананы, виноград и нектарин	Еда	2013-08-23	273,00		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-04-04	84,30		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-06-27	68,70		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-07-10	87,10		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-07-25	56,50		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-07-31	87,10		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-08-01	64,30		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-08-08	138,30		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-08-14	100,10		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-08-15	100,10		
Молоко на нама-хатту	еда,молоко,нама-хатта	2013-08-29	100,10		
Сыр плавленый	Еда,молочные продукты	2013-01-31	9,70		2
Сыр плавленый	Еда,молочные продукты	2013-01-31	8,30		
